Feature,Estimate,Std Error,t-stat,p-Value
SKILLS_VEC_112, 7622.5391,1359.6833,-4.2324, 0.0000
SKILLS_VEC_113,-5754.7552,1399.6835, 9.0222, 0.0000
SKILLS_VEC_114, 12628.2391,1176.9333,-1.6751, 0.0939
SKILLS_VEC_115,-1971.5171,1218.4048, 1.3191, 0.1872
SKILLS_VEC_116, 1607.1423,1377.5151, 6.5217, 0.0000
SKILLS_VEC_117, 8983.7854,1954.5590,-0.3773, 0.7060
SKILLS_VEC_118,-737.4148,1213.3122, 1.9682, 0.0491
SKILLS_VEC_119, 2388.0315,1407.2135, 7.8647, 0.0000
SKILLS_VEC_120, 11067.2875,1158.5117,-1.2669, 0.2052
SKILLS_VEC_121,-1467.7022,1300.2494, 3.9852, 0.0001
SKILLS_VEC_122, 5181.7697,1637.2506,-5.3634, 0.0000
SKILLS_VEC_123,-8781.2332,1174.8826, 3.0944, 0.0020
SKILLS_VEC_124, 3635.6030,1167.4566,-2.7193, 0.0065
SKILLS_VEC_125,-3174.6705,1381.8428,-1.6521, 0.0985
SKILLS_VEC_126,-2282.9102,1406.8189, 4.1730, 0.0000
SKILLS_VEC_127, 5870.6556,1345.3303,-1.4460, 0.1482
SKILLS_VEC_128,-1945.3908,1311.4878,-0.5479, 0.5838
SKILLS_VEC_129,-718.5442,1371.0083, 1.8568, 0.0633
SKILLS_VEC_130, 2545.7503,1166.0625,-4.2442, 0.0000
SKILLS_VEC_131,-4949.0371,1482.7742, 0.4825, 0.6294
SKILLS_VEC_132, 715.4803,1625.8282, 0.8637, 0.3878
SKILLS_VEC_133, 1404.2022,1735.7484, 0.6947, 0.4873
SKILLS_VEC_134, 1205.7980,1462.4670, 2.8155, 0.0049
SKILLS_VEC_135, 4117.5084,1340.0837,-0.6094, 0.5423
SKILLS_VEC_136,-816.6612,1423.8385, 1.8890, 0.0589
SKILLS_VEC_137, 2689.6345,1154.0757, 2.8951, 0.0038
SKILLS_VEC_138, 3341.1518,1744.3138,-2.3887, 0.0169
SKILLS_VEC_139,-4166.6719,1135.3065,-1.3480, 0.1777
SKILLS_VEC_140,-1530.3938,2268.6315, 9.4270, 0.0000
SKILLS_VEC_141, 21386.4036,1266.4480,-0.2168, 0.8284
SKILLS_VEC_142,-274.5689,1227.6476,-3.0189, 0.0025
SKILLS_VEC_143,-3706.1126,1794.9635, 3.5756, 0.0003
SKILLS_VEC_144, 6418.1604,1212.6811,-3.7670, 0.0002
SKILLS_VEC_145,-4568.2118,1875.4833, 8.8002, 0.0000
SKILLS_VEC_146, 16504.6781,1368.6142,-0.6422, 0.5207
SKILLS_VEC_147,-878.9535,1413.5238, 4.1395, 0.0000
SKILLS_VEC_148, 5851.2739,1490.3686,-1.3435, 0.1791
SKILLS_VEC_149,-2002.3116,1437.1163,-1.3239, 0.1855
SKILLS_VEC_150,-1902.6477,1532.6782, 2.5940, 0.0095
SKILLS_VEC_151, 3975.7933,1516.2315, 5.7810, 0.0000
SKILLS_VEC_152, 8765.3084,1421.3345,-0.3649, 0.7152
SKILLS_VEC_153,-518.6478,1189.4581, 3.2555, 0.0011
SKILLS_VEC_154, 3872.2870,1134.8593,-12.6701, 0.0000
SKILLS_VEC_155,-14378.8135,1654.5666, 2.6621, 0.0078
SKILLS_VEC_156, 4404.6825,1592.2291,-2.1339, 0.0329
SKILLS_VEC_157,-3397.6189,1379.9686, 1.9675, 0.0491
SKILLS_VEC_158, 2715.1184,1256.2599, 3.9079, 0.0001
SKILLS_VEC_159, 4909.3779,1324.3030, 0.2989, 0.7650
SKILLS_VEC_160, 395.8093,1351.1768,-3.7418, 0.0002
SKILLS_VEC_161,-5055.8015,1330.8829,-1.2438, 0.2136
SKILLS_VEC_162,-1655.3528,1351.4408, 2.4673, 0.0136
SKILLS_VEC_163, 3334.3687,1449.2883,-0.7068, 0.4797
SKILLS_VEC_164,-1024.3940,1419.4274, 1.7345, 0.0828
SKILLS_VEC_165, 2461.9915,1319.1494, 3.8789, 0.0001
SKILLS_VEC_166, 5116.9061,1345.7799,-2.2842, 0.0224
SKILLS_VEC_167,-3074.0849,5460.2598,-1.5151, 0.1298
